id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
79236599,алкоголь,віскі,Jameson,21.11.2018,,1,,0.5,434.80,,Женя,,
79237761,алкоголь,пиво,,28.10.2018,,1,,0.44,16.55,,Женя,,
79237761,алкоголь,пиво,,28.10.2018,,1,,1.150,26.56,,Женя,,
79237761,алкоголь,пиво,,28.10.2018,,1,,0.5,14.53,,Женя,,
79237761,алкоголь,текіла,Tiscaz,28.10.2018,,1,,0.7,495.20,,Женя,,
79237761,майно АТБ,кошик,,28.10.2018,,1,,,73.33,,Женя,,
79241744,NA,,,,,,,,,,Женя,,
79245913,напій безалкогольний,напій газований,Coca Cola,16.12.2018,,1,,0.5,6.46,,Женя,,
79245913,ікра,ікра червона,,,,1,120,,189.92,,Женя,,
79251030,косметика,касети для гоління,Gillette Fusion,08.08.2018,,1,,,246.20,,Женя,,
79251030,косметика,касети для гоління,Gillette Fusion,09.08.2018,,1,,,246.20,,Женя,,
79252415,косметика,касети для гоління,Gillette Fusion,18.06.2018,,2,,,214.91,429.82,Женя,,
79253227,NA,,,,,,,,,,Женя,,
79253411,алкоголь,джин,Beefeater,16.12.2017,,1,,0.5,295.33,,Женя,,
79253888,NA,,,,,,,,,,Женя,,
79253902,кава,кава розчинна,Jacobs Monarch,07.11.2018,,1,400,,297.90,,Женя,,
79253902,кава,кава розчинна,Jacobs Monarch,08.11.2018,,1,400,,297.90,,Женя,,
79254869,ікра,ікра червона,Камчадал,11.01.2018,,2,120,,266.81,533.62,Женя,,
79254869,ікра,ікра червона,Norven,12.01.2018,,2,110,,231.47,462.94,Женя,,
79255629,алкоголь,джин,Beefeater,17.09.2017,,1,,0.5,266.58,,Женя,,
79258288,алкоголь,віскі,Lebel,24.02.2018,,1,,0.5,280.30,,Женя,,
79258288,алкоголь,горілка,Хортиця,24.02.2018,,1,,0.5,88.80,,Женя,,
79258288,алкоголь,вино,Шабо,24.02.2018,,1,,0.7,205.40,,Женя,,
