"id","yend","color","start","end","curvature","dif","ystart"
"92365570",1,"однакову",100,100,-44.9890074534828,0,0
"92365570",2,"меншу",100,94.7657721466385,-65.7786833967862,-581.56,1
"92365570",3,"меншу",94.7657721466385,88.4148175199516,-46.74066527249,-49,2
"92413154",1,"однакову",100,100,-44.9890074534828,0,0
"92413154",2,"більшу",100,105.38825211348,-41.9997497631687,83.62,1
"92413154",3,"меншу",105.38825211348,96.2456061656121,-45.6703665969578,-19.06,2
"92413154",4,"більшу",96.2456061656121,103.676536768908,-38.335210109568,186.13,3
"92450819",1,"однакову",100,100,-44.9890074534828,0,0
"92450819",2,"більшу",100,109.865819785045,-42.3347096359054,74.25,1
"92456795",1,"однакову",100,100,-44.9890074534828,0,0
"92456795",2,"більшу",100,107.585580768064,-28.8129837167319,452.5,1
"92456795",3,"меншу",107.585580768064,99.9592853628565,-75.6894918404919,-858.8,2
"92456795",4,"меншу",99.9592853628565,91.9095539022237,-46.9480043612705,-54.8,3
"92489190",1,"однакову",100,100,-44.9890074534828,0,0
"92489190",2,"більшу",100,109.869975931942,-43.4489784975066,43.08,1
"92489190",3,"більшу",109.869975931942,116.204935901333,-43.3174254204873,46.7599999999999,2
"92495797",1,"однакову",100,100,-44.9890074534828,0,0
"92495797",2,"меншу",100,93.9145555871073,-68.7572166514737,-664.88,1
"92495797",3,"більшу",93.9145555871073,102.835049949354,-35.8918261926466,254.48,2
"92495797",4,"більшу",102.835049949354,111.968328788644,-27.945376874542,476.77,3
"92646853",1,"однакову",100,100,-44.9890074534828,0,0
"92646853",2,"більшу",100,105.554970491212,-43.1858723434679,50.44,1
"92646853",3,"більшу",105.554970491212,112.167121797102,-35.7659928146281,258,2
"92646853",4,"меншу",112.167121797102,103.917908462463,-57.1451552362057,-340.05,3
"92646853",5,"однакову",103.917908462463,103.917908462463,-44.9890074534828,0,4
"92646853",6,"більшу",103.917908462463,112.510924086673,-35.4946645932758,265.59,5
"92646853",7,"меншу",112.510924086673,106.521963785635,-54.4833503136898,-265.59,6
"92647155",1,"однакову",100,100,-44.9890074534828,0,0
"92647155",2,"однакову",100,100,-44.9890074534828,0,1
"92661803",1,"однакову",100,100,-44.9890074534828,0,0
"92661803",2,"однакову",100,100,-44.9890074534828,0,1
"92661803",3,"більшу",100,106.705249078805,-34.8708599209967,283.04,2
